Method,N_Samples,P1_Qubits_Mean,P1_Qubits_Std,P2_Depth_Mean,P2_Depth_Std,P3_Gates_Mean,P3_Gates_Std,P3_Gates_Min,P3_Gates_Max,P4_Time_Mean_ms,P4_Time_Std_ms,P5_Scalability_Mean,P6_Loss_Mean,P7_Compression_Mean,P7_Compression_Std,P8_Memory_Mean,P9_Complexity_Mean,P9_Complexity_Std,P10_Impl_Complexity,Salient_Ratio_Mean,Salient_Ratio_Std
FRQI,6096,9.0,0.0,113.61384514435696,15.604468089597953,121.61384514435696,15.604468089597953,54,140,1.6603510334645668,0.5698420169121196,11.111099999999997,0.0,2.063210449475066,0.46330242073328354,100.0,13.512649229002625,1.7338299826022059,2,,
NEQR,6096,16.0,0.0,305.37516404199476,67.25620696166669,312.37516404199476,67.25620696166669,109,433,31.10109245406824,11.87274050081089,6.25,0.0,0.4481259350393701,0.14245848016494386,177.77999999999997,19.523447752624673,4.203512935104168,3,,
GQIR,6096,12.0,0.0,90.95784120734908,36.36756157478617,97.95784120734908,36.36756157478617,16,171,9.788025475721785,5.752800220111146,8.333299999999998,0.0,2.4120561023622047,1.701479481355032,133.32999999999998,8.163152919947507,3.030630176473901,3,,
MCQI,6096,18.0,0.0,914.1254921259842,201.76862088500008,923.1254921259842,201.76862088500008,313,1285,92.23576822506561,31.53247712048566,5.555599999999999,0.0,0.1331198162729659,0.04248693250092145,200.0,51.284760465879266,11.209367928723942,4,,
QRMW,6096,18.0,0.0,312.1625656167979,33.37599923990749,1977.724409448819,254.18761682269388,997,2382,20.620882086614174,5.598088854936804,5.555599999999999,0.0,0.3700251312335958,0.05316447766103293,200.0,109.87357811679792,14.121534433926474,4,,
EFRQI,6096,9.0,0.0,79.97326115485565,20.799399883941728,87.97326115485565,20.799399883941728,24,118,1.5418185859580054,0.6551922642084717,11.111099999999997,0.0,3.1481590387139105,1.3003082070289853,100.0,9.774807463910761,2.3110445073377277,3,,
2D-QSNA,6096,8.0,0.0,1.0,0.0,3.7363845144356955,0.4949904772326131,2,4,0.8197814632545932,0.4069080704198697,12.5,0.0,256.0,0.0,88.88999999999999,0.46704806430446194,0.061873809654076635,4,,
INEQR,6096,16.0,0.0,333.88188976377955,66.13017088541255,340.88188976377955,66.13017088541255,120,466,32.72790902230971,12.143667845085535,6.25,0.0,0.4049490649606299,0.11733275771045075,177.77999999999997,21.305118110236222,4.133135680338285,3,,
QPIE,6096,8.0,0.0,114.61384514435696,15.604468089597953,121.61384514435696,15.604468089597953,54,140,10.317149917979002,7.344816165153595,12.5,0.0,2.2992301837270337,0.5079195194602786,88.88999999999999,15.20173064304462,1.950558511199744,4,,
QLR,6096,16.0,0.0,459.88681102362204,74.36222445916052,466.88681102362204,74.36222445916052,196,632,44.88203421916011,14.844842635644444,6.25,0.0,0.28754865485564307,0.05934592250768987,177.77999999999997,29.180425688976378,4.647639028697532,4,,
SAHQR,6096,17.0,0.0,571.4240485564304,184.40276692241744,578.4240485564304,184.40276692241744,176,1062,57.072207103018364,24.900373951053442,5.8824,0.0,0.24090943241469817,0.10636678038015004,188.88999999999996,34.024944389763775,10.847221639742644,5,0.29850516732283466,0.003032929399627091
