Method,vs,P3_Gate_Count_t,P3_Gate_Count_p,P3_Gate_Count_sig,P2_Circuit_Depth_t,P2_Circuit_Depth_p,P2_Circuit_Depth_sig,P4_Encoding_Time_ms_t,P4_Encoding_Time_ms_p,P4_Encoding_Time_ms_sig
FRQI,NEQR,-215.72223973415302,0.0,***,-216.8530886975632,0.0,***,-193.38402774643617,0.0,***
GQIR,NEQR,-218.9540877557714,0.0,***,-218.9540877557714,0.0,***,-126.13136174014231,0.0,***
MCQI,NEQR,224.2094004137256,0.0,***,223.4751907371885,0.0,***,141.66501119775603,0.0,***
QRMW,NEQR,494.5151836672517,0.0,***,7.05810871381411,1.7793169619924734e-12,***,-62.33746359400515,0.0,***
EFRQI,NEQR,-248.87588758175502,0.0,***,-249.98495075982854,0.0,***,-194.0908146270758,0.0,***
2D-QSNA,NEQR,-358.2851758995571,0.0,***,-353.3453016350395,0.0,***,-199.01749938717973,0.0,***
INEQR,NEQR,23.597058012800645,2.0232471249994087e-120,***,23.597058012800645,2.0232471249994087e-120,***,7.47894556715777,8.005217414616858e-14,***
QPIE,NEQR,-215.72223973415302,0.0,***,-215.72223973415302,0.0,***,-116.23455434902095,0.0,***
QLR,NEQR,120.3186313764964,0.0,***,120.3186313764964,0.0,***,56.60418907062958,0.0,***
SAHQR,NEQR,105.82711117998878,0.0,***,105.82711117998878,0.0,***,73.50610749233238,0.0,***
